"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2012","KCR","72","90","4.30","662","162","2","1","44","78","20","1451.1","6251","1504","746","693","163","542","44","60","49","8","1177"
"2007","OAK","76","86","4.30","608","162","4","1","36","66","25","1448.0","6247","1468","758","692","138","530","60","43","52","4","1036"
"2002","CHC","67","95","4.30","552","162","11","3","23","32","25","1441.1","6236","1373","759","689","167","606","53","58","44","2","1333"
"2019","NYY","103","59","4.31","707","162","1","1","50","101","25","1443.0","6133","1374","739","691","248","507","12","44","55","5","1534"
"2004","PIT","72","89","4.31","625","161","3","2","46","76","23","1428.0","6197","1451","744","684","149","576","64","63","45","3","1079"
"2007","COL","90","73","4.32","692","163","4","1","39","80","29","1472.0","6293","1497","758","706","164","504","61","59","35","8","967"
"2009","FLA","87","75","4.32","692","162","5","1","45","93","24","1446.1","6299","1425","766","694","160","601","60","45","59","5","1248"
"2013","SEA","71","91","4.32","610","162","4","2","43","65","23","1465.0","6256","1467","754","703","174","478","48","42","74","1","1297"
"2001","FLA","76","86","4.32","592","162","5","3","32","","","1438.0","6227","1397","744","691","151","617","53","70","40","3","1119"
"2011","TOR","81","81","4.33","636","162","7","3","33","50","26","1458.2","6286","1433","761","701","179","540","28","77","73","3","1169"
"2000","CIN","85","77","4.33","550","163","8","1","42","","","1456.1","6362","1446","765","700","190","659","53","43","96","5","1015"
"2004","MON","67","95","4.33","624","162","11","4","31","59","18","1447.0","6307","1477","769","696","191","582","78","79","43","2","1032"
"2018","COL","91","72","4.33","681","163","0","0","51","105","27","1452.1","6154","1377","745","699","184","525","24","52","70","8","1409"
"2013","PHI","73","89","4.34","628","162","6","2","32","55","16","1436.1","6213","1465","749","692","152","506","33","62","48","6","1199"
"2015","BOS","78","84","4.34","637","162","3","1","40","63","20","1448.1","6224","1486","753","698","178","478","17","62","79","10","1218"
"2009","DET","86","77","4.34","602","163","4","1","42","67","24","1447.0","6240","1449","745","698","182","594","42","41","48","6","1102"
"2011","CHC","71","91","4.34","657","162","4","1","40","86","24","1434.1","6262","1439","756","692","162","580","45","53","51","5","1224"
"2004","SFG","91","71","4.34","683","162","8","5","46","87","28","1457.0","6321","1481","770","703","161","548","35","47","52","2","1020"
"2015","CIN","64","98","4.35","683","162","2","1","35","63","21","1453.1","6271","1436","754","702","177","544","42","58","54","11","1252"
"2005","SFG","75","87","4.35","673","162","4","0","46","89","28","1444.1","6280","1456","745","698","151","592","42","42","38","3","972"
"2009","BOS","95","67","4.35","625","162","8","2","41","72","18","1436.2","6283","1494","736","695","167","530","24","68","42","5","1230"
"2009","TBR","84","78","4.36","672","162","3","3","41","79","22","1427.1","6146","1421","754","691","183","515","22","46","46","5","1125"
"2002","FLA","79","83","4.36","623","162","11","6","36","68","19","1456.1","6340","1449","763","706","151","631","46","58","55","7","1104"
"2000","ARI","85","77","4.36","552","162","16","4","38","","","1443.2","6158","1441","754","700","190","500","53","42","30","10","1220"
"2006","FLA","78","84","4.37","600","162","6","2","41","69","27","1433.1","6294","1465","772","696","166","622","58","74","47","4","1088"
"2006","TOR","87","75","4.37","644","162","6","1","42","87","20","1428.1","6151","1447","754","694","185","504","56","59","53","13","1076"
"2009","SDP","75","87","4.37","689","162","2","1","45","92","23","1450.2","6273","1422","769","705","167","603","58","45","52","8","1187"
"2008","SFG","72","90","4.38","640","162","4","2","41","56","19","1442.0","6341","1416","759","701","147","652","59","70","77","7","1240"
"2019","SFG","77","85","4.38","749","162","1","0","41","86","22","1469.0","6256","1395","773","715","227","519","26","65","53","4","1368"
"2005","LAD","71","91","4.38","620","162","6","4","40","66","19","1427.1","6113","1434","755","695","182","471","34","64","36","6","1004"
"2016","TEX","95","67","4.38","641","162","1","0","56","103","17","1443.0","6186","1441","757","703","201","534","16","53","45","5","1154"
"2009","TEX","87","75","4.38","598","162","8","3","45","77","13","1434.2","6172","1432","740","699","171","531","14","70","45","8","1016"
"2001","HOU","93","69","4.39","567","162","7","1","48","","","1454.2","6236","1453","769","709","221","486","22","70","42","3","1228"
"2008","HOU","86","75","4.39","649","161","4","3","48","80","17","1425.1","6125","1453","743","695","197","492","53","50","22","9","1095"
"2000","STL","95","67","4.40","548","162","10","4","37","","","1433.2","6200","1403","771","701","196","606","28","62","49","9","1100"
"2019","MIL","89","73","4.40","750","162","0","0","50","104","27","1459.1","6251","1364","766","714","225","570","28","60","41","3","1497"
"2008","SDP","63","99","4.41","653","162","3","0","30","55","26","1458.1","6286","1466","764","714","165","561","61","38","43","4","1100"
"2003","MIN","90","72","4.41","561","162","7","3","45","65","19","1461.2","6246","1526","758","716","187","402","35","50","62","9","997"
"2018","SDP","66","96","4.41","697","162","0","0","36","83","17","1457.0","6254","1430","767","714","185","519","28","68","52","4","1399"
